Plasma cells,Myeloid,Fibroblast,B cells,NK cells,Instestinal Epithelial cells,Enterocyte,Stomach Epithelial cells,Stomach Stem cells,Endothelial cells,Mast cells,CD8+ Effector T cells,CD4+ Effector T cells,CD4+ Central Memory T cells,CD8+ Cytotoxic Unconventional T cells,CD8+ Proliferating T cells,CD4+ Regulatory T cells,CD8+ Homeostatic Unconventional T cells,CD8+ Tissue Resident Memory T cells,CD8+ Transitioning  Resident T cells,Intestine Epithelial Stem cells,Stomach Body Epithelial cells
DERL3,CD14,ACTA2,CD19,NCR1,EPCAM,ANPEP,CLDN18,LGR5,PECAM1,CMA1,CD3E,CD3E,CD3E,CD3E,CD3E,CD3E,CD3E,CD3E,CD3E,LGR5,LIPF
DNAJB9,CD163,C1S,CR2,NCAM1,TFF3,PRAP1,PGC,MUC6,FLT1,CPA3,CD3G,CD3G,CD3G,CD3G,CD3G,CD3G,CD3G,CD3G,CD3G,ASCL2,PGA5
FCRL5,AIF1,COL1A1,IGHD,KRT86,C10orf99,RBP2,PSCA,FMOD,HSPG2,FCER1A,CD3D,CD3D,CD3D,CD3D,CD3D,CD3D,CD3D,CD3D,CD3D,SMOC2,CHIA
LINC02362,C1QA,COL1A2,MS4A1,SH2D1B,CKB,FABP2,CTSE,FUT9,RAMP3,HDC,NKG7,CD40LG,CD4,GZMA,MKI67,CD4,KIR2DL4,CD8A,CD8A,MSI1,ATP4A
MZB1,C1QB,COL3A1,PAX5,TXK,CEACAM5,SMIM24,ANXA10,GP2,RAMP2,HPGDS,CST7,CD4,TNFRSF4,GNLY,GTSE1,FOXP3,HOPX,CD8B,CD8B,RARRES2,ATP4B
IGLC1,C1QC,COL6A1,BANK1,KIR2DL1,AXIN2,CCL25,TFF2,MSMB,PLVAP,KIT,GZMK,IL7R,CD40LG,CD7,TOP2A,TNFRSF4,TMIGD2,TMIGD2,TMIGD2,SOX9,ALDOB
TNFRSF17,CSF1R,COL6A2,VPREB3,KIR2DL3,PLA2G2A,CLDN15,VSIG1,MUC5AC,SLCO2A1,IL1RL1,GZMH,KLRB1,CCR4,FCER1G,CD8A,CTLA4,CD7,CD248,CD248,CENPM,CCKBR
TXNDC5,IGSF6,CXCL14,,KIR3DL2,PRAC1,ALD08,TFF1,TFF1,SOX18,LTC4S,CD8A,SESN1,CD28,NKG7,CD8B,TBC1D4,KLRC2,ITGA1,ITGA1,EPHB2,CPA2
SDC1,MERTK,CYGB,,KIR3DL1,MUC4,REEP6,MUC5AC,PGC,VWF,MS4A2,GZMB,CCR6,IL7R,CD247,LAG3,TIGIT,CD160,ITGAE,ITGAE,OLFM4,DNER
EAF2,MS4A6A,DCN,,CD160,SNORC,KHK,CA9,TFF2,,RHEX,CD8B,TNF,TCF7,KIR2DL4,HAVCR2,IL2RA,ITGA1,CD101,CD101,,DRD5
,MS4A7,MFAP4,,KIR2DL4,LEFY1,SI,SULT1C2,,,SIGLEC6,GZMM,IL2,CCR7,TRDC,GZMA,ICOS,GZMA,XCL1,CTLA4,,GIF
,,MMP2,,,CA12,FOLH1,TRNP1,,,SLC18A2,GZMA,DYNLT3,S1PR1,XCL1,GZMB,CCR8,ITGAE,CD160,PDCD1,,GUCA2B
,,TCF21,,,NXPE4,SLC5A1,MUCL3,,,TPSAB1,PRF1,DPP4,SELL,GZMB,PRF1,IKZF2,IKZF2,XCL2,GZMA,,HOPX
,,TPM2,,,,EPCAM,GKN2,,,TPSB2,LYST,IL4I1,AP3M2,CD160,,,KLRC3,IL7R,GZMB,,
,,,,,,,EPCAM,,,VWA5A,LAG3,CCL20,LEF1,TRBV27,,,TRGC2,MYBL1,TOX2,,
,,,,,,,,,,,APOBEC3G,,PASK,PRF1,,,XCL2,,HAVCR2,,
,,,,,,,,,,,,,GK,SH2D1B,,,ADRB1,,VCAM1,,
,,,,,,,,,,,,,,GZMK,,,TXK,,ZNF683,,
,,,,,,,,,,,,,,HOPX,,,CD8A,,,,
,,,,,,,,,,,,,,,,,CD8B,,,,
